game_id,game_title
1257,Starbase Jeff
1258,Phase 10
1260,Rook
1261,Medina
1262,Axis & Allies: Pacific
1263,Knatsch
1265,Mystery Rummy: Jekyll & Hyde
1269,Skip-Bo
1270,Star Wars Customizable Card Game
1275,221B Baker Street: The Master Detective Game
1289,All The King's Men
1293,Boggle
1294,Clue
1295,Pente
1297,Trivial Pursuit: Star Wars Classic Trilogy Collector's Edition
1298,Monopoly: Star Wars
1299,Trivial Pursuit: Genus IV
1300,Im Zeichen des Kreuzes
1301,Netrunner
1302,Cosmic Wimpout
1308,Confusion
1309,Die Magier von Pangea
1315,Africa
1319,Magic Hill
1323,Cry Havoc
1324,Café International: Das Kartenspiel
1330,Savannah Café
1333,Boom-O
1334,Entdecker: Exploring New Horizons
1335,Gnadenlos!
1338,Volldampf
1339,Dungeon!
1345,Genoa
1347,Simple GBoH
1350,Das Amulett
1352,Bali
1353,Time's Up!
1361,Die Siedler von Catan: Historische Szenarien II
1362,Wit's End
1370,The Classic Dungeon
1371,Mustangs
1372,Rise of the Luftwaffe
1376,Serengeti
1379,Ebbe & Flut
1380,Jockey
1381,Pokémon Master Trainer
1382,Winner's Circle
1387,Alaska
1403,Turn the Tide
1406,Monopoly
1408,Gammarauders
1410,Trouble
1412,Trendy
1413,Attack Sub
1416,Meridian
1417,Alibi
1419,Pylos
1420,Monopoly Express
1421,Lost Worlds
1423,Storm over Arnhem
1425,Raid on St. Nazaire
1426,Lord of the Rings: The Search
1428,Image
1430,Caesar: Epic Battle of Alesia
1431,War at Sea (second edition)
1435,4000 A.D.
1436,Billionaire
1439,Iceberg Seals
1444,SPQR
1445,Canasta Caliente
1448,Freight Train
1452,Mhing
1459,Sharp Shooters
1463,Girl Genius: The Works
1465,Wizard
1471,Gangsters
1472,Five Crowns
1475,Careers
1484,Clue: The Great Museum Caper
1489,Deadwood Studios USA
1491,Outpost
1493,1853
1494,Bohnanza Erweiterungs-Set (Revised Edition)
1496,Imperium Romanum II
1498,Paydirt
1499,World in Flames
1501,Masterpiece
1502,Hotel Tycoon
1506,Conquistador
1508,Broadside
1509,Dogfight
1511,Outdoor Survival
1513,The Republic of Rome
1515,Upwords
1518,Executive Decision
1520,Monad
1525,Dixie: Bull Run
1526,PitchCar Extension
1527,Bitin' Off Hedz
1533,Ghost Chase
1535,Formula-1
1536,Lord of the Fries
1543,Dragon Quest
1544,Beyond Balderdash
1545,Flowerpower
1549,Password
1551,Sub Search
1552,Illuminati: New World Order
1555,Dungeon Dice
1558,Rogue Trooper
