,game_id,game_title,category,avg_time,min_ppl,max_ppl,age_min
247,284,Lords of the Sierra Madre (second edition),"['American West', 'Economic', 'Negotiation', 'Transportation', 'Wargame']",240,2,8,14
248,285,Monsters Ravage America,"['Science Fiction', 'Wargame']",90,1,4,10
249,286,Machiavelli,"['Bluffing', 'Negotiation', 'Political', 'Renaissance', 'Wargame']",480,4,8,12
250,287,Bazaar,"['Abstract Strategy', 'Puzzle']",45,2,6,8
253,290,Gold Digger,"['American West', 'Card Game']",20,2,5,7
256,293,Bamboleo,"['Action / Dexterity', 'Party Game']",30,2,7,6
258,295,Europa 1945-2030,"['Negotiation', 'Political']",120,3,6,12
259,296,Medieval Merchant,"['Economic', 'Medieval']",75.0,2,6,12
262,299,De Bellis Antiquitatis,"['Ancient', 'Book', 'Medieval', 'Miniatures', 'Wargame']",60,2,6,14
263,300,Tutankhamen,"['Abstract Strategy', 'Ancient']",30,2,6,8
264,301,Campanile,['Card Game'],30,2,5,10
265,302,Forum Romanum,"['Abstract Strategy', 'Ancient']",45,2,6,10
267,304,Evergreen,"['Card Game', 'Music']",25.0,2,6,12
268,305,Der Fliegende Holländer,"['Bluffing', 'Nautical']",60,3,6,12
269,306,Die Siedler von Catan: Historische Szenarien,"['Ancient', 'Civilization', 'Expansion for Base-game', 'Negotiation']",90,3,4,10
273,310,Wizard's Quest,"['Adventure', 'Fantasy', 'Wargame']",180,2,6,12
274,311,Time Agent,['Science Fiction'],240,2,6,12
275,312,Landlord!,"['Card Game', 'Humor']",10,2,6,10
276,313,Big Boss,['Economic'],90,2,6,10
279,316,Chase,"['Abstract Strategy', 'Dice']",45,2,2,10
283,320,Scrabble,['Word Game'],90,2,4,10
284,321,The Mole in the Hole,"[""Children's Game""]",45,2,4,8
285,322,Tonga Bonga,"['Economic', 'Nautical', 'Racing']",45,3,4,10
288,325,Catan: Seafarers,"['Civilization', 'Expansion for Base-game', 'Exploration', 'Nautical', 'Negotiation']",90,3,4,10
289,327,Loopin' Louie,"['Action / Dexterity', 'Animals', 'Aviation / Flight', ""Children's Game"", 'Electronic']",10,2,4,4
291,329,Russian Front,"['Wargame', 'World War II']",1200,2,2,12
292,330,Block Mania,"['Comic Book / Strip', 'Science Fiction', 'Wargame']",120,2,2,14
294,333,Waterworks,['Card Game'],30,2,5,8
295,334,Advance to Boardwalk,['Economic'],60,2,4,8
296,335,Breakthru,"['Abstract Strategy', 'Nautical']",15,2,2,10
297,336,Jumpin,['Abstract Strategy'],15,2,2,8
298,337,Circus Flohcati,['Card Game'],15,2,5,6
299,338,Bargain Hunter,['Card Game'],45,3,4,10
300,339,Quiddler,"['Card Game', 'Word Game']",30,1,8,8
306,348,Merchants of the Middle Ages,"['Economic', 'Medieval', 'Negotiation', 'Transportation']",120,2,4,10
307,349,Halunken & Spelunken,"['Age of Reason', 'Card Game']",30,3,4,10
309,352,Trumpet,['Card Game'],45,2,6,9
310,353,Inkognito: The Card Game,"['Card Game', 'Deduction', 'Murder/Mystery']",30,3,5,10
311,354,Sticheln,['Card Game'],45.0,3,8,10
314,357,Excape,"['Dice', 'Racing']",30,3,6,8
315,359,Bucket Brigade,"['Animals', 'Card Game', ""Children's Game""]",30,3,5,7
316,360,Quests of the Round Table,"['Card Game', 'Medieval']",60,2,4,10
318,363,Cat Blues,['Card Game'],30,2,6,10
319,364,Samarkand,['Economic'],40,2,5,9
321,366,Viva Pamplona!,['Racing'],45,2,6,8
322,367,Overthrone,['Card Game'],90,3,6,12
323,368,Relationship Tightrope,['Card Game'],30,3,5,8
325,370,El Grande: König & Intrigant,"['Expansion for Base-game', 'Political', 'Renaissance']",90,2,5,12
326,371,Mystery Rummy: Murders in the Rue Morgue,"['Card Game', 'Murder/Mystery']",30.0,2,4,8
327,372,Schotten Totten,"['Card Game', 'Deduction']",20,2,2,8
331,376,DruidenWalzer,['Card Game'],45,2,2,12
334,379,Express,"['Card Game', 'Trains']",60,2,6,8
335,380,Polarity,"['Abstract Strategy', 'Action / Dexterity']",20,2,4,8
337,382,Heimlich & Co.,"['Bluffing', 'Spies/Secret Agents']",30,2,7,8
339,384,TurfMaster,"['Animals', 'Racing', 'Sports']",75,2,8,10
340,386,Pirateer,"['Nautical', 'Pirates']",15,2,4,8
341,387,Corruption,"['Bluffing', 'Card Game']",45,3,7,10
345,392,Brawl,"['Card Game', 'Fighting', 'Real-time']",15,2,7,10
346,393,Dinosaurs of the Lost World,"['Adventure', 'Novel-based', 'Science Fiction']",90,1,4,8
347,394,Kahuna,['Abstract Strategy'],35.0,2,2,10
349,397,Diskwars,"['Collectible Components', 'Fantasy', 'Wargame']",90,2,8,10
350,398,Wildlife Safari,"['Animals', 'Card Game']",25.0,2,5,7
354,403,Elk Fest,"['Action / Dexterity', 'Animals', 'Racing']",15,2,2,8
